time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-06-24 23:00:00+00:00,2025-06-24 23:10:00+00:00,SELL,3322.42322,3322.42776,0.01,-0.04,0.07,SL,HIGH_VOLATILITY,0.8,31.08,0.88,NEW_YORK
2025-06-25 00:50:00+00:00,2025-06-25 01:00:00+00:00,SELL,3327.01596,3326.5587,0.01,0.42,0.07,SL,TRENDING,0.8,39.08,0.3,TOKYO
2025-06-25 03:10:00+00:00,2025-06-25 03:20:00+00:00,SELL,3331.30279,3331.17996,0.01,0.09,0.07,SL,TRENDING,0.8,41.44,0.12,TOKYO
2025-06-25 11:35:00+00:00,2025-06-25 11:45:00+00:00,SELL,3325.83382,3325.41957,0.01,0.38,0.07,SL,HIGH_VOLATILITY,0.8,48.68,0.92,LONDON
2025-06-26 01:35:00+00:00,2025-06-26 01:45:00+00:00,SELL,3331.61482,3331.62343,0.01,-0.04,0.07,SL,HIGH_VOLATILITY,0.8,48.31,0.82,TOKYO
2025-06-26 03:25:00+00:00,2025-06-26 03:35:00+00:00,SELL,3338.91092,3338.5042,0.01,0.37,0.07,SL,HIGH_VOLATILITY,0.8,46.34,0.51,TOKYO
2025-06-26 12:25:00+00:00,2025-06-26 12:40:00+00:00,SELL,3342.80902,3336.0274,0.01,6.75,0.07,SL,HIGH_VOLATILITY,0.8,70.92,0.9,LONDON
2025-06-27 01:35:00+00:00,2025-06-27 01:50:00+00:00,SELL,3318.59322,3317.01701,0.01,1.54,0.07,SL,HIGH_VOLATILITY,0.8,54.92,0.88,TOKYO
2025-06-27 05:15:00+00:00,2025-06-27 05:25:00+00:00,SELL,3296.88353,3295.85535,0.01,0.99,0.07,SL,HIGH_VOLATILITY,0.8,63.66,0.25,TOKYO
2025-06-27 19:00:00+00:00,2025-06-27 19:10:00+00:00,SELL,3274.61675,3274.07898,0.01,0.5,0.07,SL,HIGH_VOLATILITY,0.8,54.83,0.72,NEW_YORK
2025-06-30 00:15:00+00:00,2025-06-30 00:25:00+00:00,SELL,3269.26237,3268.7111,0.03,1.55,0.21,SL,HIGH_VOLATILITY,0.8,69.19,0.16,TOKYO
2025-06-30 02:05:00+00:00,2025-06-30 02:15:00+00:00,SELL,3281.31685,3280.59017,0.03,2.08,0.21,SL,HIGH_VOLATILITY,0.8,76.34,0.52,TOKYO
2025-06-30 12:20:00+00:00,2025-06-30 12:30:00+00:00,SELL,3285.11195,3284.51844,0.03,1.68,0.21,SL,HIGH_VOLATILITY,0.8,55.87,0.61,LONDON
2025-07-01 02:00:00+00:00,2025-07-01 02:10:00+00:00,BUY,3316.70793,3317.05894,0.03,0.95,0.21,SL,TRENDING,0.8,49.7,0.44,TOKYO
2025-07-01 04:00:00+00:00,2025-07-01 04:10:00+00:00,BUY,3321.0896,3321.08213,0.02,-0.08,0.14,SL,TRENDING,0.8,45.24,0.55,TOKYO
2025-07-01 11:35:00+00:00,2025-07-01 11:45:00+00:00,BUY,3349.04901,3349.20665,0.03,0.37,0.21,SL,TRENDING,0.8,50.61,1.0,LONDON
2025-07-02 01:35:00+00:00,2025-07-02 01:45:00+00:00,BUY,3332.8677,3333.12979,0.04,0.91,0.28,SL,HIGH_VOLATILITY,0.8,60.13,0.42,TOKYO
2025-07-02 04:30:00+00:00,2025-07-02 04:40:00+00:00,BUY,3340.40827,3340.54533,0.04,0.41,0.28,SL,HIGH_VOLATILITY,0.8,38.58,0.8,TOKYO
2025-07-02 11:35:00+00:00,2025-07-02 11:45:00+00:00,BUY,3343.78513,3343.78219,0.03,-0.11,0.21,SL,TRENDING,0.8,44.81,0.83,LONDON
2025-07-03 01:40:00+00:00,2025-07-03 01:50:00+00:00,BUY,3346.60816,3346.60325,0.03,-0.12,0.21,SL,HIGH_VOLATILITY,0.8,51.83,0.88,TOKYO
2025-07-03 03:30:00+00:00,2025-07-03 03:40:00+00:00,BUY,3347.74055,3347.98165,0.04,0.82,0.28,SL,HIGH_VOLATILITY,0.8,39.62,0.42,TOKYO
2025-07-03 11:35:00+00:00,2025-07-03 11:45:00+00:00,BUY,3346.91513,3346.90758,0.03,-0.13,0.21,SL,HIGH_VOLATILITY,0.8,43.75,0.06,LONDON
2025-07-04 01:35:00+00:00,2025-07-04 01:45:00+00:00,BUY,3329.45211,3330.33389,0.04,3.39,0.28,SL,HIGH_VOLATILITY,0.8,42.64,0.65,TOKYO
2025-07-04 05:00:00+00:00,2025-07-04 05:10:00+00:00,BUY,3341.93834,3341.92615,0.03,-0.14,0.21,SL,TRENDING,0.8,34.72,0.29,TOKYO
2025-07-04 11:35:00+00:00,2025-07-04 11:50:00+00:00,SELL,3337.64344,3336.44312,0.07,8.16,0.49,SL,HIGH_VOLATILITY,0.8,39.98,0.26,LONDON
2025-07-07 00:55:00+00:00,2025-07-07 01:05:00+00:00,SELL,3326.50379,3323.60045,0.03,8.61,0.21,SL,HIGH_VOLATILITY,0.8,53.78,0.12,TOKYO
2025-07-07 03:30:00+00:00,2025-07-07 03:40:00+00:00,SELL,3313.4589,3312.82564,0.03,1.79,0.21,SL,HIGH_VOLATILITY,0.8,60.31,0.51,TOKYO
2025-07-07 11:50:00+00:00,2025-07-07 12:00:00+00:00,SELL,3304.68571,3302.8551,0.03,5.39,0.21,SL,HIGH_VOLATILITY,0.8,69.83,0.73,LONDON
2025-07-08 01:40:00+00:00,2025-07-08 01:50:00+00:00,BUY,3335.18473,3335.7843,0.02,1.13,0.14,SL,TRENDING,0.8,52.09,0.69,TOKYO
2025-07-08 03:30:00+00:00,2025-07-08 03:40:00+00:00,BUY,3332.14989,3332.14598,0.04,-0.16,0.28,SL,HIGH_VOLATILITY,0.8,44.61,0.63,TOKYO
2025-07-08 11:45:00+00:00,2025-07-08 11:55:00+00:00,SELL,3322.9365,3322.5464,0.03,1.07,0.21,SL,HIGH_VOLATILITY,0.8,51.03,0.25,LONDON
2025-07-09 01:35:00+00:00,2025-07-09 01:45:00+00:00,SELL,3303.8019,3303.80215,0.03,-0.11,0.21,SL,HIGH_VOLATILITY,0.8,48.59,0.81,TOKYO
2025-07-09 04:00:00+00:00,2025-07-09 04:10:00+00:00,SELL,3293.19104,3293.1952,0.03,-0.12,0.21,SL,HIGH_VOLATILITY,0.8,56.84,0.4,TOKYO
2025-07-09 12:15:00+00:00,2025-07-09 12:25:00+00:00,SELL,3292.10369,3290.34571,0.03,5.17,0.21,SL,HIGH_VOLATILITY,0.8,55.87,0.83,LONDON
2025-07-10 02:10:00+00:00,2025-07-10 02:20:00+00:00,BUY,3322.09405,3322.09329,0.02,-0.07,0.14,SL,TRENDING,0.8,40.45,0.85,TOKYO
