time,exit_time,direction,entry,exit,lot,pnl,result,regime,ai_score,spread,slippage
2025-06-25 09:00,2025-06-25 23:30,SELL,3322.75818,3338.89113,0.01,-16.13,SL,HIGH_VOLATILITY,0.8791,0.5,0.18
2025-06-26 20:30,2025-06-27 03:00,SELL,3328.24659,3302.42093,0.01,25.83,TP,HIGH_VOLATILITY,0.8577,0.5,0.14
2025-07-09 02:30,2025-07-09 14:30,SELL,3288.56809,3309.32781,0.01,-20.76,SL,HIGH_VOLATILITY,0.7701,0.5,0.19
2025-07-11 10:00,2025-07-15 15:30,BUY,3345.71949,3330.07726,0.01,-15.64,SL,HIGH_VOLATILITY,0.8337,0.5,0.15
2025-07-21 05:00,2025-07-22 14:00,BUY,3367.07587,3421.7926,0.01,54.72,TP,HIGH_VOLATILITY,0.7522,0.5,0.09
2025-07-23 09:00,2025-07-23 13:00,BUY,3431.73581,3417.71547,0.01,-14.02,SL,HIGH_VOLATILITY,0.8629,0.5,0.08
2025-07-28 23:00,2025-07-29 01:30,SELL,3311.36612,3319.78154,0.01,-8.42,SL,HIGH_VOLATILITY,0.7947,0.5,0.09
2025-07-31 14:00,2025-08-01 12:30,SELL,3296.65912,3314.02099,0.01,-17.36,SL,HIGH_VOLATILITY,0.8075,0.5,0.19
2025-08-06 06:00,2025-08-06 07:00,BUY,3377.16126,3368.9818,0.01,-8.18,SL,HIGH_VOLATILITY,0.772,0.5,0.03
2025-08-06 14:00,2025-08-11 07:30,BUY,3376.25452,3357.70121,0.01,-18.55,SL,HIGH_VOLATILITY,0.8231,0.5,0.05
2025-08-12 06:00,2025-08-12 07:30,SELL,3344.88347,3357.88803,0.01,-13.0,SL,HIGH_VOLATILITY,0.7935,0.5,0.15
2025-08-12 14:00,2025-08-13 08:30,SELL,3334.96728,3361.8976,0.01,-26.93,SL,HIGH_VOLATILITY,0.8457,0.5,0.17
2025-08-19 14:30,2025-08-20 12:30,SELL,3325.3059,3341.45743,0.01,-16.15,SL,HIGH_VOLATILITY,0.7888,0.5,0.11
2025-08-26 08:00,2025-08-28 18:30,BUY,3378.8443,3419.69759,0.01,40.85,TP,HIGH_VOLATILITY,0.7659,0.5,0.13
2025-09-02 14:00,2025-09-05 14:00,BUY,3502.13408,3597.53099,0.01,95.4,TP,HIGH_VOLATILITY,0.8521,0.5,0.01
2025-09-10 04:30,2025-09-11 05:30,BUY,3642.94953,3628.58773,0.01,-14.36,SL,HIGH_VOLATILITY,0.8264,0.5,0.05
2025-09-12 01:00,2025-09-15 01:00,BUY,3642.66436,3628.84948,0.01,-13.81,SL,HIGH_VOLATILITY,0.7824,0.5,0.04
2025-09-16 06:30,2025-09-17 01:30,BUY,3693.35832,3677.9683,0.01,-15.39,SL,HIGH_VOLATILITY,0.7719,0.5,0.13
2025-09-18 08:30,2025-09-18 13:30,BUY,3665.47997,3632.18477,0.01,-33.3,SL,HIGH_VOLATILITY,0.8386,0.5,0.2
2025-09-29 00:30,2025-09-30 03:30,BUY,3787.10855,3865.16975,0.01,78.06,TP,HIGH_VOLATILITY,0.8413,0.5,0.05
2025-10-03 12:30,2025-10-06 04:30,BUY,3873.79468,3939.367,0.01,65.57,TP,RANGING,0.8705,0.5,0.17
2025-10-08 14:00,2025-10-08 22:00,BUY,4044.56923,4022.57466,0.01,-21.99,SL,HIGH_VOLATILITY,0.861,0.5,0.02
2025-10-09 08:00,2025-10-09 13:30,BUY,4036.77084,4018.5272,0.01,-18.24,SL,HIGH_VOLATILITY,0.8014,0.5,0.08
2025-10-10 18:00,2025-10-13 13:30,BUY,4004.27666,4095.53994,0.01,91.26,TP,HIGH_VOLATILITY,0.7731,0.5,0.16
2025-10-16 01:30,2025-10-16 20:00,BUY,4230.19974,4318.25838,0.01,88.06,TP,HIGH_VOLATILITY,0.7648,0.5,0.07
2025-11-04 12:30,2025-11-06 07:00,SELL,3984.6335,4003.6711,0.01,-19.04,SL,HIGH_VOLATILITY,0.8857,0.5,0.15
2025-11-11 09:00,2025-11-11 14:30,BUY,4143.733,4121.41058,0.01,-22.32,SL,HIGH_VOLATILITY,0.8232,0.5,0.1
2025-11-11 23:30,2025-11-12 02:30,BUY,4142.68856,4121.37334,0.01,-21.32,SL,HIGH_VOLATILITY,0.8542,0.5,0.05
2025-11-12 07:00,2025-11-12 18:00,BUY,4123.92604,4209.99727,0.01,86.07,TP,HIGH_VOLATILITY,0.8567,0.5,0.1
2025-11-13 03:00,2025-11-13 18:30,BUY,4200.80004,4175.1556,0.01,-25.64,SL,HIGH_VOLATILITY,0.7971,0.5,0.1
2025-11-25 17:00,2025-12-01 10:00,BUY,4149.83555,4261.76095,0.01,111.93,TP,HIGH_VOLATILITY,0.8587,0.5,0.15
2025-12-04 16:00,2025-12-08 15:00,BUY,4216.20933,4187.29316,0.01,-28.92,SL,HIGH_VOLATILITY,0.7978,0.5,0.13
2025-12-12 21:00,2025-12-16 05:00,BUY,4303.03559,4280.46261,0.01,-22.57,SL,HIGH_VOLATILITY,0.8146,0.5,0.16
2025-12-18 05:00,2025-12-18 08:00,BUY,4335.88892,4326.01466,0.01,-9.87,SL,HIGH_VOLATILITY,0.8585,0.5,0.19
2025-12-19 13:00,2025-12-22 01:30,BUY,4334.78019,4376.34295,0.01,41.56,TP,HIGH_VOLATILITY,0.8174,0.5,0.12
2025-12-23 18:30,2025-12-24 15:30,BUY,4484.41486,4450.05355,0.01,-34.36,SL,HIGH_VOLATILITY,0.8876,0.5,0.18
2025-12-31 04:30,2026-01-02 04:00,SELL,4332.98752,4377.21854,0.01,-44.23,SL,HIGH_VOLATILITY,0.8122,0.5,0.15
2026-01-06 02:00,2026-01-08 05:00,BUY,4460.48053,4423.42287,0.01,-37.06,SL,HIGH_VOLATILITY,0.8026,0.5,0.05
2026-01-08 20:00,2026-01-12 00:00,BUY,4470.03012,4546.5468,0.01,76.52,TP,HIGH_VOLATILITY,0.7898,0.5,0.11
2026-01-13 13:00,2026-01-13 20:30,BUY,4601.22155,4573.99308,0.01,-27.23,SL,HIGH_VOLATILITY,0.7505,0.5,0.05
2026-01-15 14:30,2026-01-16 15:00,BUY,4610.96342,4577.72621,0.01,-33.24,SL,HIGH_VOLATILITY,0.8212,0.5,0.04
2026-01-20 03:30,2026-01-20 09:30,BUY,4680.18295,4733.70706,0.01,53.52,TP,HIGH_VOLATILITY,0.7945,0.5,0.19
2026-01-21 18:30,2026-01-21 19:30,BUY,4850.15211,4792.80321,0.01,-57.35,SL,HIGH_VOLATILITY,0.8582,0.5,0.01
2026-01-27 19:30,2026-01-27 21:30,BUY,5098.93261,5189.157,0.01,90.22,TP,HIGH_VOLATILITY,0.7514,0.5,0.16
