time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-06-24 23:00:00+00:00,2025-06-25 00:05:00+00:00,SELL,3322.42498,3326.31393,0.01,-3.92,0.07,SL,HIGH_VOLATILITY,0.8,28.69,0.7,NEW_YORK
2025-06-25 01:45:00+00:00,2025-06-25 09:10:00+00:00,SELL,3333.66266,3323.11615,0.01,10.51,0.07,TP,TRENDING,0.8,47.94,0.63,TOKYO
2025-06-25 10:00:00+00:00,2025-06-25 16:40:00+00:00,SELL,3325.29206,3332.86766,0.01,-7.61,0.07,SL,HIGH_VOLATILITY,0.8,48.98,0.99,LONDON
2025-06-25 20:35:00+00:00,2025-06-25 23:30:00+00:00,SELL,3333.00868,3338.29405,0.01,-5.32,0.07,SL,HIGH_VOLATILITY,0.8,35.06,0.23,NEW_YORK
2025-06-26 01:35:00+00:00,2025-06-26 02:40:00+00:00,SELL,3331.6141,3339.59993,0.01,-8.02,0.07,SL,HIGH_VOLATILITY,0.8,48.37,0.89,TOKYO
2025-06-26 04:20:00+00:00,2025-06-26 05:30:00+00:00,BUY,3336.55847,3332.44244,0.01,-4.15,0.07,SL,HIGH_VOLATILITY,0.8,36.23,0.77,TOKYO
2025-06-26 12:25:00+00:00,2025-06-26 12:55:00+00:00,SELL,3342.81106,3323.43173,0.01,19.34,0.07,TP,HIGH_VOLATILITY,0.8,81.03,0.69,LONDON
2025-06-26 15:50:00+00:00,2025-06-26 16:30:00+00:00,SELL,3324.15413,3331.69757,0.01,-7.58,0.07,SL,HIGH_VOLATILITY,0.8,58.57,0.59,LONDON
2025-06-27 01:35:00+00:00,2025-06-27 03:20:00+00:00,SELL,3318.59573,3300.32854,0.01,18.23,0.07,TP,HIGH_VOLATILITY,0.8,61.89,0.63,TOKYO
2025-06-27 05:15:00+00:00,2025-06-27 12:35:00+00:00,SELL,3296.88053,3273.03041,0.01,23.82,0.07,TP,HIGH_VOLATILITY,0.8,83.25,0.55,TOKYO
2025-06-27 19:00:00+00:00,2025-06-29 22:20:00+00:00,SELL,3274.62143,3256.65692,0.01,17.93,0.07,TP,HIGH_VOLATILITY,0.8,53.9,0.26,NEW_YORK
