time,exit_time,direction,entry,exit,lot,pnl,result,regime,ai_score,spread,slippage
2025-06-24 04:15,2025-06-24 07:30,SELL,3349.94941,3326.27937,0.01,23.67,SL,HIGH_VOLATILITY,0.821,0.5,0.06
2025-06-25 09:15,2025-06-26 02:50,SELL,3323.89847,3340.68628,0.01,-16.79,SL,HIGH_VOLATILITY,0.8778,0.5,0.05
2025-06-26 11:25,2025-06-26 13:40,SELL,3339.2096,3320.20378,0.01,19.01,SL,HIGH_VOLATILITY,0.8016,0.5,0.04
2025-06-26 14:05,2025-06-27 13:45,SELL,3321.98506,3266.07824,0.01,55.91,SL,HIGH_VOLATILITY,0.8718,0.5,0.09
2025-06-29 22:15,2025-06-30 02:15,SELL,3261.3721,3282.63425,0.01,-21.26,SL,HIGH_VOLATILITY,0.8501,0.5,0.19
2025-06-30 09:10,2025-06-30 19:10,SELL,3282.88498,3301.21297,0.01,-18.33,SL,HIGH_VOLATILITY,0.8916,0.5,0.0
2025-07-08 08:10,2025-07-08 15:25,SELL,3327.90389,3297.27931,0.01,30.62,SL,HIGH_VOLATILITY,0.8815,0.5,0.11
2025-07-08 18:25,2025-07-09 13:50,SELL,3301.6229,3301.62455,0.01,-0.0,SL,HIGH_VOLATILITY,0.8954,0.5,0.01
2025-07-11 10:00,2025-07-11 16:15,BUY,3341.68595,3355.21029,0.01,13.52,SL,HIGH_VOLATILITY,0.7518,0.5,0.19
2025-07-14 04:45,2025-07-14 12:20,BUY,3359.61535,3359.61351,0.01,-0.0,SL,HIGH_VOLATILITY,0.8198,0.5,0.04
2025-07-15 20:25,2025-07-16 04:30,SELL,3328.11135,3337.51252,0.01,-9.4,SL,HIGH_VOLATILITY,0.7938,0.5,0.06
2025-07-21 11:05,2025-07-22 00:00,BUY,3367.89836,3392.53058,0.01,24.63,SL,HIGH_VOLATILITY,0.7878,0.5,0.14
2025-07-22 11:35,2025-07-22 14:00,BUY,3388.73598,3409.95106,0.02,42.43,SL,HIGH_VOLATILITY,0.8371,0.5,0.1
2025-07-23 03:10,2025-07-23 13:00,BUY,3424.62721,3415.19798,0.01,-9.43,SL,HIGH_VOLATILITY,0.7698,0.5,0.02
2025-07-25 01:15,2025-07-25 13:35,SELL,3367.99975,3346.56919,0.01,21.43,SL,HIGH_VOLATILITY,0.8301,0.5,0.03
2025-07-28 07:55,2025-07-28 14:25,SELL,3334.88023,3312.02809,0.01,22.85,SL,HIGH_VOLATILITY,0.7582,0.5,0.18
2025-07-29 03:15,2025-07-29 08:05,SELL,3315.79798,3324.27008,0.01,-8.47,SL,HIGH_VOLATILITY,0.7627,0.5,0.0
2025-07-29 19:40,2025-07-30 17:10,SELL,3323.05393,3298.83266,0.01,24.22,SL,HIGH_VOLATILITY,0.8605,0.5,0.11
2025-07-31 13:55,2025-08-01 10:50,SELL,3301.41118,3301.41295,0.01,-0.0,SL,HIGH_VOLATILITY,0.8611,0.5,0.18
2025-08-04 08:25,2025-08-04 14:20,BUY,3358.80089,3375.10035,0.01,16.3,SL,HIGH_VOLATILITY,0.8218,0.5,0.09
2025-08-04 23:05,2025-08-05 05:00,BUY,3377.4969,3370.95983,0.02,-13.07,SL,HIGH_VOLATILITY,0.7614,0.5,0.09
2025-08-05 05:55,2025-08-05 09:00,BUY,3373.99482,3364.7772,0.01,-9.22,SL,HIGH_VOLATILITY,0.7898,0.5,0.18
2025-08-05 13:00,2025-08-06 08:15,BUY,3366.98985,3366.98929,0.01,-0.0,SL,HIGH_VOLATILITY,0.8095,0.5,0.08
2025-08-11 11:00,2025-08-11 13:00,SELL,3357.74859,3357.74893,0.01,-0.0,SL,HIGH_VOLATILITY,0.7621,0.5,0.04
2025-08-11 16:00,2025-08-13 09:50,SELL,3347.39385,3366.36481,0.01,-18.97,SL,HIGH_VOLATILITY,0.808,0.5,0.11
2025-08-13 18:20,2025-08-14 00:00,SELL,3351.01021,3365.19382,0.01,-14.18,SL,HIGH_VOLATILITY,0.8634,0.5,0.18
2025-08-14 19:55,2025-08-15 04:25,SELL,3337.96375,3345.94308,0.01,-7.98,SL,HIGH_VOLATILITY,0.8065,0.5,0.12
2025-08-15 10:15,2025-08-18 00:20,SELL,3340.06328,3340.06446,0.01,-0.0,SL,HIGH_VOLATILITY,0.7763,0.5,0.17
