time,exit_time,direction,entry,exit,lot,pnl,result,regime,ai_score,spread,slippage
2025-06-24 04:05,2025-06-24 06:30,SELL,3350.93003,3319.95983,0.01,30.97,TP,HIGH_VOLATILITY,0.8794,0.5,0.1
2025-06-25 08:50,2025-06-25 23:50,SELL,3327.85937,3338.8871,0.01,-11.03,SL,HIGH_VOLATILITY,0.865,0.5,0.06
2025-06-26 12:35,2025-06-27 03:20,SELL,3333.67607,3300.39111,0.01,33.28,TP,HIGH_VOLATILITY,0.822,0.5,0.09
2025-06-27 12:55,2025-06-30 05:50,SELL,3270.02715,3291.20977,0.01,-21.18,SL,HIGH_VOLATILITY,0.8962,0.5,0.08
2025-06-30 09:05,2025-06-30 18:15,SELL,3281.7626,3299.0324,0.01,-17.27,SL,HIGH_VOLATILITY,0.886,0.5,0.04
2025-07-02 09:40,2025-07-03 12:35,BUY,3339.48705,3325.83172,0.01,-13.66,SL,HIGH_VOLATILITY,0.8697,0.5,0.1
2025-07-09 01:45,2025-07-09 14:30,SELL,3300.0711,3309.83766,0.01,-9.77,SL,HIGH_VOLATILITY,0.87,0.5,0.19
2025-07-11 09:55,2025-07-11 15:15,BUY,3339.45479,3367.33666,0.01,27.88,TP,HIGH_VOLATILITY,0.7923,0.5,0.08
2025-07-11 15:20,2025-07-14 13:00,BUY,3365.7386,3347.33223,0.01,-18.41,SL,RANGING,0.8629,0.5,0.16
2025-07-15 03:00,2025-07-15 13:15,BUY,3352.89595,3344.25596,0.01,-8.64,SL,HIGH_VOLATILITY,0.8974,0.5,0.09
2025-07-18 12:15,2025-07-20 22:15,BUY,3359.02845,3345.9013,0.01,-13.13,SL,RANGING,0.7964,0.5,0.14
2025-07-21 04:35,2025-07-21 12:00,BUY,3355.74345,3375.97608,0.01,20.23,TP,HIGH_VOLATILITY,0.8787,0.5,0.14
2025-07-21 12:10,2025-07-22 14:25,BUY,3376.00976,3420.99301,0.01,44.98,TP,RANGING,0.8695,0.5,0.18
2025-07-22 14:40,2025-07-23 16:00,BUY,3425.87661,3395.27783,0.01,-30.6,SL,RANGING,0.7849,0.5,0.06
2025-07-25 14:40,2025-07-30 15:20,SELL,3336.3001,3295.21046,0.01,41.09,TP,HIGH_VOLATILITY,0.8216,0.5,0.09
2025-07-30 15:25,2025-08-01 12:30,SELL,3292.59137,3319.03209,0.01,-26.44,SL,HIGH_VOLATILITY,0.8458,0.5,0.16
2025-08-01 20:45,2025-08-04 01:25,BUY,3362.63429,3345.01976,0.01,-17.61,SL,RANGING,0.8609,0.5,0.13
2025-08-04 03:05,2025-08-07 07:25,BUY,3356.99445,3392.45009,0.01,35.46,TP,HIGH_VOLATILITY,0.8709,0.5,0.15
2025-08-07 07:50,2025-08-11 01:10,BUY,3395.80719,3369.54292,0.01,-26.26,SL,RANGING,0.819,0.5,0.02
2025-08-11 20:00,2025-08-13 08:45,SELL,3350.90295,3361.38636,0.01,-10.48,SL,HIGH_VOLATILITY,0.7534,0.5,0.0
2025-08-14 16:25,2025-08-18 03:45,SELL,3332.17475,3349.63215,0.01,-17.46,SL,HIGH_VOLATILITY,0.7906,0.5,0.02
2025-08-18 23:20,2025-08-19 00:10,SELL,3332.84707,3335.68973,0.03,-8.53,SL,HIGH_VOLATILITY,0.8213,0.5,0.19
2025-08-19 12:35,2025-08-20 13:40,SELL,3336.30468,3346.32257,0.01,-10.02,SL,HIGH_VOLATILITY,0.8649,0.5,0.03
2025-08-25 03:10,2025-08-25 23:10,BUY,3366.53711,3358.3589,0.01,-8.18,SL,HIGH_VOLATILITY,0.8866,0.5,0.01
2025-08-26 00:10,2025-08-29 13:55,BUY,3369.01087,3428.33864,0.01,59.33,TP,HIGH_VOLATILITY,0.8804,0.5,0.09
2025-08-29 14:05,2025-09-02 15:05,BUY,3432.40546,3515.67063,0.01,83.27,TP,RANGING,0.7688,0.5,0.15
2025-09-02 16:15,2025-09-08 13:50,BUY,3522.59822,3636.6102,0.01,114.01,TP,RANGING,0.7899,0.5,0.12
2025-09-08 23:50,2025-09-09 13:30,BUY,3635.18662,3661.88994,0.01,26.7,TP,HIGH_VOLATILITY,0.8099,0.5,0.06
2025-09-09 13:35,2025-09-09 14:30,BUY,3664.49294,3640.98395,0.01,-23.51,SL,HIGH_VOLATILITY,0.7705,0.5,0.09
2025-09-10 03:55,2025-09-11 09:15,BUY,3636.48567,3618.03928,0.01,-18.45,SL,HIGH_VOLATILITY,0.8403,0.5,0.17
2025-09-11 19:55,2025-09-15 01:10,BUY,3636.95046,3627.24223,0.01,-9.71,SL,HIGH_VOLATILITY,0.8699,0.5,0.05
2025-09-15 10:10,2025-09-15 15:45,BUY,3644.38137,3670.71782,0.01,26.34,TP,HIGH_VOLATILITY,0.8295,0.5,0.14
2025-09-15 15:55,2025-09-17 18:50,BUY,3680.46043,3649.61584,0.01,-30.84,SL,RANGING,0.784,0.5,0.14
2025-09-18 08:35,2025-09-18 13:40,BUY,3660.77988,3632.185,0.01,-28.59,SL,HIGH_VOLATILITY,0.8202,0.5,0.19
2025-09-19 13:25,2025-09-21 22:25,BUY,3655.95008,3692.11742,0.01,36.17,TP,HIGH_VOLATILITY,0.7882,0.5,0.01
2025-09-22 03:20,2025-09-22 06:40,BUY,3691.48724,3715.89377,0.01,24.41,TP,RANGING,0.8462,0.5,0.02
2025-09-22 08:50,2025-09-23 09:00,BUY,3721.5842,3779.5148,0.01,57.93,TP,RANGING,0.8748,0.5,0.12
2025-09-23 09:05,2025-09-24 15:30,BUY,3781.26619,3745.85033,0.01,-35.42,SL,RANGING,0.7862,0.5,0.02
2025-09-25 07:10,2025-09-25 12:50,BUY,3742.8784,3731.3778,0.01,-11.5,SL,HIGH_VOLATILITY,0.7845,0.5,0.14
2025-09-26 06:10,2025-09-26 14:25,BUY,3751.52041,3783.35098,0.01,31.83,TP,HIGH_VOLATILITY,0.8325,0.5,0.04
2025-09-28 22:35,2025-09-29 04:45,BUY,3769.89495,3807.35334,0.01,37.46,TP,HIGH_VOLATILITY,0.7568,0.5,0.09
2025-09-29 04:50,2025-10-01 08:00,BUY,3808.39584,3881.48227,0.01,73.09,TP,HIGH_VOLATILITY,0.8338,0.5,0.08
2025-10-01 08:10,2025-10-02 14:35,BUY,3888.14656,3849.729,0.01,-38.42,SL,RANGING,0.8212,0.5,0.06
2025-10-02 19:15,2025-10-06 02:00,BUY,3857.11497,3922.91232,0.01,65.8,TP,HIGH_VOLATILITY,0.787,0.5,0.2
2025-10-06 03:45,2025-10-08 04:50,BUY,3930.49916,4026.15416,0.01,95.65,TP,RANGING,0.8179,0.5,0.02
2025-10-08 05:10,2025-10-08 23:45,BUY,4029.57957,4005.79747,0.01,-23.78,SL,RANGING,0.8965,0.5,0.06
2025-10-09 04:20,2025-10-09 16:35,BUY,4036.93967,3996.80438,0.01,-40.14,SL,HIGH_VOLATILITY,0.8751,0.5,0.17
2025-10-10 18:20,2025-10-13 14:50,BUY,4006.58297,4103.61006,0.01,97.03,TP,HIGH_VOLATILITY,0.8726,0.5,0.2
2025-10-13 23:45,2025-10-14 06:20,BUY,4131.69262,4102.68188,0.01,-29.01,SL,RANGING,0.802,0.5,0.16
2025-10-14 08:25,2025-10-16 20:50,BUY,4144.33912,4330.24424,0.01,185.91,TP,HIGH_VOLATILITY,0.8288,0.5,0.01
2025-10-17 02:55,2025-10-17 13:35,BUY,4342.45926,4268.55936,0.01,-73.9,SL,HIGH_VOLATILITY,0.774,0.5,0.02
2025-10-20 08:15,2025-10-21 12:10,BUY,4260.19388,4215.63118,0.01,-44.56,SL,HIGH_VOLATILITY,0.8901,0.5,0.09
2025-10-23 19:30,2025-10-24 08:10,SELL,4125.47053,4054.12364,0.01,71.35,TP,HIGH_VOLATILITY,0.8286,0.5,0.15
2025-10-24 08:15,2025-10-24 13:05,SELL,4055.06616,4110.89339,0.01,-55.83,SL,HIGH_VOLATILITY,0.8054,0.5,0.08
2025-10-26 23:40,2025-10-28 08:35,SELL,4067.49003,3908.77345,0.01,158.72,TP,HIGH_VOLATILITY,0.7736,0.5,0.1
2025-10-28 08:40,2025-10-28 15:30,SELL,3905.51608,3964.36361,0.01,-58.85,SL,HIGH_VOLATILITY,0.858,0.5,0.09
2025-10-28 20:20,2025-10-29 00:20,SELL,3951.64451,3969.50651,0.01,-17.86,SL,HIGH_VOLATILITY,0.843,0.5,0.05
2025-10-31 16:00,2025-11-04 14:30,SELL,4005.72221,3937.03106,0.01,68.69,TP,HIGH_VOLATILITY,0.825,0.5,0.18
2025-11-05 11:20,2025-11-05 16:45,SELL,3958.7772,3985.67427,0.01,-26.9,SL,HIGH_VOLATILITY,0.8852,0.5,0.08
2025-11-10 01:25,2025-11-12 16:30,BUY,4047.96541,4191.60966,0.01,143.64,TP,TRENDING,0.7583,0.5,0.04
2025-11-12 16:45,2025-11-14 12:15,BUY,4191.53983,4119.97612,0.01,-71.56,SL,TRENDING,0.8311,0.5,0.18
2025-11-17 00:20,2025-11-17 19:40,SELL,4085.3374,4016.96841,0.01,68.37,TP,HIGH_VOLATILITY,0.8614,0.5,0.06
2025-11-17 23:45,2025-11-18 13:35,SELL,4036.6208,4061.45755,0.01,-24.84,SL,HIGH_VOLATILITY,0.7742,0.5,0.12
2025-11-21 10:05,2025-11-21 12:45,SELL,4042.51636,4069.83871,0.01,-27.32,SL,HIGH_VOLATILITY,0.7633,0.5,0.06
2025-11-24 04:40,2025-11-24 07:40,SELL,4046.69095,4065.77799,0.01,-19.09,SL,HIGH_VOLATILITY,0.8739,0.5,0.0
2025-11-24 20:45,2025-12-01 01:50,BUY,4129.82171,4245.41625,0.01,115.59,TP,RANGING,0.7623,0.5,0.17
2025-12-01 06:45,2025-12-02 01:05,BUY,4239.22919,4210.29705,0.01,-28.93,SL,HIGH_VOLATILITY,0.7973,0.5,0.12
2025-12-03 02:10,2025-12-03 07:30,BUY,4223.76714,4201.09666,0.01,-22.67,SL,RANGING,0.7626,0.5,0.11
2025-12-03 12:35,2025-12-04 03:00,BUY,4212.37267,4194.2693,0.01,-18.1,SL,HIGH_VOLATILITY,0.8128,0.5,0.17
2025-12-04 16:05,2025-12-08 15:00,BUY,4213.92922,4187.29362,0.01,-26.64,SL,HIGH_VOLATILITY,0.8403,0.5,0.02
2025-12-10 20:00,2025-12-12 13:30,BUY,4223.74873,4341.97219,0.01,118.22,TP,RANGING,0.8054,0.5,0.07
2025-12-12 21:20,2025-12-16 05:25,BUY,4302.94831,4280.46275,0.01,-22.49,SL,HIGH_VOLATILITY,0.8435,0.5,0.13
2025-12-16 12:15,2025-12-17 05:45,BUY,4290.5909,4341.65108,0.01,51.06,TP,HIGH_VOLATILITY,0.7678,0.5,0.19
2025-12-17 13:20,2025-12-18 14:40,BUY,4329.29793,4311.52041,0.01,-17.78,SL,HIGH_VOLATILITY,0.8536,0.5,0.19
2025-12-18 16:25,2025-12-29 15:20,BUY,4367.2249,4303.80677,0.01,-63.42,SL,HIGH_VOLATILITY,0.8936,0.5,0.19
2025-12-30 14:45,2026-01-05 01:00,SELL,4360.81162,4410.07492,0.01,-49.26,SL,HIGH_VOLATILITY,0.8835,0.5,0.04
2026-01-05 14:35,2026-01-11 23:00,BUY,4427.31118,4519.29825,0.01,91.99,TP,HIGH_VOLATILITY,0.8525,0.5,0.02
2026-01-11 23:15,2026-01-18 23:05,BUY,4533.10179,4653.65594,0.01,120.55,TP,RANGING,0.894,0.5,0.08
2026-01-18 23:20,2026-01-22 19:05,BUY,4672.83036,4922.60058,0.01,249.77,TP,HIGH_VOLATILITY,0.8386,0.5,0.14
2026-01-22 20:20,2026-01-25 23:10,BUY,4927.292,5025.41129,0.01,98.12,TP,TRENDING,0.8206,0.5,0.1
2026-01-25 23:55,2026-01-28 05:05,BUY,5039.79533,5253.39325,0.01,213.6,TP,TRENDING,0.8036,0.5,0.13
2026-01-28 06:55,2026-01-28 21:45,BUY,5269.84605,5401.36052,0.01,131.51,TP,TRENDING,0.7505,0.5,0.1
2026-01-28 23:05,2026-01-29 15:15,BUY,5452.58031,5307.58213,0.01,-145.0,SL,TRENDING,0.862,0.5,0.13
2026-01-29 20:55,2026-01-30 02:10,BUY,5394.51862,5244.77272,0.01,-149.75,SL,HIGH_VOLATILITY,0.8932,0.5,0.16
2026-02-02 15:30,2026-02-03 00:20,SELL,4684.181,4820.53809,0.01,-136.36,SL,HIGH_VOLATILITY,0.8826,0.5,0.1
2026-02-04 04:50,2026-02-04 11:15,BUY,5078.96066,5021.69321,0.01,-57.27,SL,TRENDING,0.8978,0.5,0.16
2026-02-05 21:35,2026-02-06 05:40,SELL,4766.04055,4868.16036,0.01,-102.12,SL,HIGH_VOLATILITY,0.8136,0.5,0.14
2026-02-09 16:25,2026-02-09 23:10,BUY,5072.18416,4993.96012,0.01,-78.22,SL,HIGH_VOLATILITY,0.8123,0.5,0.02
2026-02-10 05:50,2026-02-10 15:35,BUY,5038.47911,5000.63577,0.01,-37.84,SL,HIGH_VOLATILITY,0.8415,0.5,0.11
2026-02-10 23:20,2026-02-12 16:10,BUY,5048.14752,5013.01951,0.01,-35.13,SL,HIGH_VOLATILITY,0.8543,0.5,0.15
2026-02-13 05:55,2026-02-13 14:20,SELL,4946.45011,5006.98027,0.01,-60.53,SL,HIGH_VOLATILITY,0.7845,0.5,0.09
2026-02-17 00:30,2026-02-17 05:30,SELL,4976.23562,4886.78002,0.01,89.46,TP,HIGH_VOLATILITY,0.7999,0.5,0.14
2026-02-17 10:50,2026-02-18 13:00,SELL,4912.12252,4947.57347,0.01,-35.45,SL,HIGH_VOLATILITY,0.7656,0.5,0.15
2026-02-19 20:30,2026-02-20 16:30,BUY,4996.40603,5066.47852,0.01,70.07,TP,HIGH_VOLATILITY,0.7712,0.5,0.1
2026-02-20 16:35,2026-03-01 23:00,BUY,5064.45359,5316.86395,0.01,252.41,TP,HIGH_VOLATILITY,0.8333,0.5,0.16
2026-03-01 23:05,2026-03-03 09:25,BUY,5351.28709,5240.59527,0.01,-110.69,SL,TRENDING,0.8324,0.5,0.11
2026-03-04 06:05,2026-03-04 10:05,SELL,5142.06848,5189.87811,0.01,-47.81,SL,HIGH_VOLATILITY,0.7966,0.5,0.05
2026-03-04 13:55,2026-03-05 18:00,SELL,5167.88639,5053.16296,0.01,114.72,TP,HIGH_VOLATILITY,0.8377,0.5,0.16
2026-03-06 08:20,2026-03-06 13:35,SELL,5110.16977,5129.47584,0.01,-19.31,SL,HIGH_VOLATILITY,0.8977,0.5,0.02
2026-03-09 00:15,2026-03-10 08:40,SELL,5036.82214,5191.67034,0.01,-154.85,SL,HIGH_VOLATILITY,0.8171,0.5,0.09
2026-03-10 12:30,2026-03-11 13:50,BUY,5180.21973,5151.50714,0.01,-28.71,SL,HIGH_VOLATILITY,0.8498,0.5,0.17
2026-03-11 19:55,2026-03-11 22:55,BUY,5182.97549,5148.11851,0.01,-34.86,SL,HIGH_VOLATILITY,0.7981,0.5,0.05
2026-03-12 18:40,2026-03-18 10:35,SELL,5098.80729,4961.00993,0.01,137.8,TP,HIGH_VOLATILITY,0.8487,0.5,0.07
2026-03-18 10:45,2026-03-18 12:10,SELL,4976.86732,4906.94237,0.01,69.92,TP,HIGH_VOLATILITY,0.7812,0.5,0.17
2026-03-18 12:35,2026-03-19 12:45,SELL,4883.33685,4549.40509,0.01,333.93,TP,HIGH_VOLATILITY,0.8556,0.5,0.01
2026-03-20 06:35,2026-03-22 22:00,SELL,4668.16259,4462.47747,0.01,205.69,TP,HIGH_VOLATILITY,0.7932,0.5,0.14
2026-03-23 00:05,2026-03-23 07:20,SELL,4439.61295,4102.88258,0.01,336.73,TP,HIGH_VOLATILITY,0.7791,0.5,0.0
2026-03-23 15:55,2026-03-24 23:35,SELL,4363.64711,4543.80144,0.01,-180.15,SL,HIGH_VOLATILITY,0.787,0.5,0.19
