time,exit_time,direction,entry,exit,lot,pnl,result,regime,ai_score,spread,slippage
2025-06-24 06:15,2025-07-01 12:20,SELL,3325.82043,3356.72701,0.01,-30.91,SL,HIGH_VOLATILITY,0.7541,0.5,0.16
2025-07-02 05:15,2025-07-02 06:40,BUY,3342.04371,3332.75875,0.01,-9.28,SL,HIGH_VOLATILITY,0.8224,0.5,0.17
2025-07-02 09:15,2025-07-03 12:35,BUY,3337.60914,3325.34885,0.01,-12.26,SL,HIGH_VOLATILITY,0.8522,0.5,0.11
2025-07-09 02:35,2025-07-09 14:30,SELL,3297.93431,3309.32744,0.01,-11.39,SL,HIGH_VOLATILITY,0.81,0.5,0.07
2025-07-11 10:20,2025-07-15 15:30,BUY,3343.52173,3330.07567,0.01,-13.45,SL,HIGH_VOLATILITY,0.8439,0.5,0.07
2025-07-18 12:20,2025-07-20 22:15,BUY,3357.83409,3345.90135,0.01,-11.93,SL,RANGING,0.783,0.5,0.01
2025-07-21 04:55,2025-07-21 12:30,BUY,3357.79735,3384.19365,0.01,26.4,TP,HIGH_VOLATILITY,0.773,0.5,0.13
2025-07-21 12:35,2025-07-24 12:00,BUY,3385.10209,3360.94087,0.01,-24.16,SL,RANGING,0.7546,0.5,0.11
2025-07-25 08:25,2025-07-30 15:20,SELL,3345.59087,3295.98983,0.01,49.6,TP,HIGH_VOLATILITY,0.7566,0.5,0.11
2025-07-30 18:40,2025-07-31 07:45,SELL,3289.03198,3308.27221,0.01,-19.24,SL,HIGH_VOLATILITY,0.8571,0.5,0.0
2025-07-31 10:50,2025-08-01 12:30,SELL,3296.32736,3316.08711,0.01,-19.76,SL,HIGH_VOLATILITY,0.7698,0.5,0.16
2025-08-01 20:35,2025-08-04 01:25,BUY,3362.34938,3345.0216,0.01,-17.33,SL,RANGING,0.8374,0.5,0.14
2025-08-04 03:05,2025-08-07 07:25,BUY,3356.99464,3392.45039,0.01,35.46,TP,HIGH_VOLATILITY,0.8708,0.5,0.16
2025-08-07 11:25,2025-08-11 01:10,BUY,3381.86449,3368.6014,0.01,-13.26,SL,HIGH_VOLATILITY,0.756,0.5,0.05
2025-08-11 20:55,2025-08-13 07:20,SELL,3342.96294,3359.48469,0.01,-16.52,SL,HIGH_VOLATILITY,0.8018,0.5,0.01
2025-08-14 16:20,2025-08-18 03:45,SELL,3332.97059,3349.63149,0.01,-16.66,SL,HIGH_VOLATILITY,0.8595,0.5,0.04
2025-08-19 12:30,2025-08-19 23:50,SELL,3336.85679,3313.19373,0.01,23.66,TP,HIGH_VOLATILITY,0.8171,0.5,0.02
2025-08-20 01:15,2025-08-20 03:20,SELL,3315.02294,3318.1536,0.03,-9.39,SL,HIGH_VOLATILITY,0.7746,0.5,0.01
2025-08-25 02:55,2025-08-25 23:10,BUY,3364.41066,3358.33653,0.01,-6.07,SL,HIGH_VOLATILITY,0.8676,0.5,0.07
2025-08-26 00:30,2025-09-01 02:45,BUY,3381.36037,3478.29615,0.01,96.94,TP,HIGH_VOLATILITY,0.7925,0.5,0.04
2025-09-01 02:50,2025-09-05 16:20,BUY,3475.20095,3599.81232,0.01,124.61,TP,HIGH_VOLATILITY,0.8359,0.5,0.19
2025-09-08 05:55,2025-09-08 13:45,BUY,3591.10527,3633.11389,0.01,42.01,TP,HIGH_VOLATILITY,0.794,0.5,0.13
2025-09-09 02:10,2025-09-09 15:15,BUY,3650.87799,3631.26685,0.01,-19.61,SL,HIGH_VOLATILITY,0.7958,0.5,0.2
2025-09-10 04:00,2025-09-11 05:30,BUY,3638.92036,3627.23679,0.01,-11.68,SL,HIGH_VOLATILITY,0.7647,0.5,0.04
2025-09-11 19:40,2025-09-15 01:10,BUY,3636.3945,3627.24268,0.01,-9.15,SL,HIGH_VOLATILITY,0.8392,0.5,0.15
2025-09-15 10:25,2025-09-15 15:50,BUY,3645.85774,3675.88301,0.01,30.03,TP,HIGH_VOLATILITY,0.8979,0.5,0.17
2025-09-16 00:30,2025-09-17 02:35,BUY,3684.47369,3674.63152,0.01,-9.84,SL,RANGING,0.7663,0.5,0.07
2025-09-18 08:35,2025-09-18 13:40,BUY,3660.77875,3632.18521,0.01,-28.59,SL,HIGH_VOLATILITY,0.8894,0.5,0.07
2025-09-19 13:25,2025-09-21 22:25,BUY,3655.95146,3692.11622,0.01,36.16,TP,HIGH_VOLATILITY,0.843,0.5,0.15
2025-09-22 03:15,2025-09-22 06:30,BUY,3689.64433,3708.52172,0.02,37.75,TP,RANGING,0.769,0.5,0.03
2025-09-22 08:45,2025-09-23 09:00,BUY,3720.75705,3776.21091,0.01,55.45,TP,RANGING,0.8326,0.5,0.0
2025-09-23 15:25,2025-09-23 18:55,BUY,3780.37144,3763.79067,0.01,-16.58,SL,HIGH_VOLATILITY,0.8014,0.5,0.04
2025-09-24 04:45,2025-09-24 15:30,BUY,3767.29264,3748.0002,0.01,-19.29,SL,HIGH_VOLATILITY,0.8034,0.5,0.06
2025-09-25 06:20,2025-09-25 13:40,BUY,3745.28639,3728.90728,0.01,-16.38,SL,HIGH_VOLATILITY,0.7902,0.5,0.04
2025-09-26 04:45,2025-09-29 00:45,BUY,3747.12102,3785.15764,0.01,38.04,TP,HIGH_VOLATILITY,0.8938,0.5,0.1
2025-09-29 01:55,2025-09-29 15:00,BUY,3778.56269,3832.65014,0.01,54.09,TP,HIGH_VOLATILITY,0.875,0.5,0.07
2025-09-29 22:55,2025-09-30 03:10,BUY,3830.69457,3854.68558,0.02,47.98,TP,HIGH_VOLATILITY,0.8327,0.5,0.16
2025-09-30 03:15,2025-09-30 08:05,BUY,3855.17987,3835.23213,0.01,-19.95,SL,RANGING,0.7991,0.5,0.19
2025-09-30 14:05,2025-10-06 08:05,BUY,3838.52288,3946.08014,0.01,107.56,TP,HIGH_VOLATILITY,0.7789,0.5,0.19
2025-10-06 13:55,2025-10-08 02:55,BUY,3944.57599,4011.09661,0.01,66.52,TP,HIGH_VOLATILITY,0.7601,0.5,0.2
2025-10-08 04:10,2025-10-09 16:35,BUY,4019.66811,3992.75067,0.01,-26.92,SL,RANGING,0.7777,0.5,0.11
2025-10-10 15:25,2025-10-14 01:20,BUY,4016.77878,4145.89192,0.01,129.11,TP,HIGH_VOLATILITY,0.8961,0.5,0.18
2025-10-14 03:15,2025-10-14 05:45,BUY,4156.09598,4118.93363,0.01,-37.16,SL,RANGING,0.76,0.5,0.1
2025-10-14 08:10,2025-10-16 20:00,BUY,4140.82465,4316.18384,0.01,175.36,TP,HIGH_VOLATILITY,0.8841,0.5,0.06
2025-10-16 20:55,2025-10-17 13:35,BUY,4329.32956,4276.47918,0.01,-52.85,SL,TRENDING,0.8076,0.5,0.16
2025-10-20 07:15,2025-10-21 12:45,BUY,4256.7483,4214.2965,0.01,-42.45,SL,HIGH_VOLATILITY,0.7708,0.5,0.03
2025-10-23 01:55,2025-10-23 05:50,SELL,4073.29675,4103.97308,0.01,-30.68,SL,HIGH_VOLATILITY,0.8565,0.5,0.02
2025-10-23 19:35,2025-10-27 08:55,SELL,4118.50635,4026.26419,0.01,92.24,TP,HIGH_VOLATILITY,0.8205,0.5,0.06
2025-10-27 14:20,2025-11-10 05:30,SELL,3991.98836,4058.24631,0.01,-66.26,SL,HIGH_VOLATILITY,0.7959,0.5,0.06
2025-11-10 05:35,2025-11-10 23:05,BUY,4061.78262,4117.79384,0.01,56.01,TP,RANGING,0.8902,0.5,0.06
2025-11-10 23:10,2025-11-11 15:25,BUY,4119.34746,4103.48158,0.01,-15.87,SL,HIGH_VOLATILITY,0.8978,0.5,0.15
2025-11-11 19:45,2025-11-12 05:30,BUY,4124.80637,4102.32527,0.01,-22.48,SL,HIGH_VOLATILITY,0.855,0.5,0.04
2025-11-12 10:45,2025-11-12 15:15,BUY,4127.04895,4165.4623,0.01,38.41,TP,HIGH_VOLATILITY,0.8499,0.5,0.19
2025-11-12 15:35,2025-11-14 12:15,BUY,4177.12008,4119.2634,0.01,-57.86,SL,TRENDING,0.7595,0.5,0.01
2025-11-17 00:10,2025-11-17 19:45,SELL,4084.97446,4015.69734,0.01,69.28,TP,HIGH_VOLATILITY,0.8776,0.5,0.05
2025-11-17 19:50,2025-11-19 05:15,SELL,4020.58545,4087.44352,0.01,-66.86,SL,HIGH_VOLATILITY,0.7753,0.5,0.05
2025-11-24 04:35,2025-11-24 07:40,SELL,4046.98127,4065.77833,0.01,-18.8,SL,HIGH_VOLATILITY,0.8876,0.5,0.07
2025-11-24 20:40,2025-12-01 01:55,BUY,4131.33515,4251.4773,0.01,120.14,TP,RANGING,0.8658,0.5,0.01
2025-12-01 06:50,2025-12-02 01:05,BUY,4239.03148,4210.29743,0.01,-28.73,SL,HIGH_VOLATILITY,0.8875,0.5,0.15
2025-12-03 01:25,2025-12-03 09:05,BUY,4216.9219,4199.59206,0.01,-17.33,SL,HIGH_VOLATILITY,0.8136,0.5,0.09
2025-12-03 13:15,2025-12-04 03:00,BUY,4220.74352,4194.10016,0.01,-26.64,SL,HIGH_VOLATILITY,0.848,0.5,0.05
2025-12-04 16:25,2025-12-08 15:00,BUY,4216.20978,4187.29333,0.01,-28.92,SL,HIGH_VOLATILITY,0.8641,0.5,0.18
2025-12-10 20:10,2025-12-22 01:40,BUY,4235.04892,4381.52181,0.01,146.47,TP,RANGING,0.7805,0.5,0.09
2025-12-22 02:55,2025-12-23 00:30,BUY,4385.9777,4469.14494,0.01,83.17,TP,RANGING,0.8866,0.5,0.07
2025-12-23 10:15,2025-12-23 13:50,BUY,4484.84101,4475.19695,0.02,-19.29,SL,HIGH_VOLATILITY,0.8663,0.5,0.1
2025-12-23 18:00,2025-12-24 15:40,BUY,4474.82472,4450.09098,0.01,-24.73,SL,HIGH_VOLATILITY,0.8278,0.5,0.07
2025-12-25 23:15,2025-12-29 07:00,BUY,4492.82101,4461.96089,0.01,-30.86,SL,HIGH_VOLATILITY,0.7823,0.5,0.0
2025-12-30 08:25,2025-12-30 10:30,SELL,4353.45518,4389.13868,0.01,-35.68,SL,HIGH_VOLATILITY,0.7589,0.5,0.08
2025-12-30 14:35,2025-12-31 05:50,SELL,4377.04905,4294.49378,0.01,82.56,TP,HIGH_VOLATILITY,0.7712,0.5,0.19
2025-12-31 08:30,2025-12-31 13:50,SELL,4324.62277,4343.41193,0.01,-18.79,SL,HIGH_VOLATILITY,0.8257,0.5,0.02
2026-01-02 16:15,2026-01-05 00:10,SELL,4317.37419,4379.23487,0.01,-61.86,SL,HIGH_VOLATILITY,0.825,0.5,0.18
2026-01-05 13:55,2026-01-06 14:35,BUY,4416.78346,4480.72676,0.01,63.94,TP,HIGH_VOLATILITY,0.8141,0.5,0.15
2026-01-06 14:55,2026-01-07 05:40,BUY,4487.47144,4449.3146,0.01,-38.16,SL,HIGH_VOLATILITY,0.7994,0.5,0.04
2026-01-07 16:30,2026-01-08 05:40,BUY,4464.83441,4418.12275,0.01,-46.71,SL,HIGH_VOLATILITY,0.8023,0.5,0.14
2026-01-08 16:45,2026-01-12 00:15,BUY,4458.22481,4562.34467,0.01,104.12,TP,HIGH_VOLATILITY,0.8332,0.5,0.08
2026-01-12 00:20,2026-01-20 13:55,BUY,4559.23484,4737.6982,0.01,178.46,TP,TRENDING,0.8327,0.5,0.18
2026-01-20 14:25,2026-01-21 04:55,BUY,4750.50451,4869.01765,0.01,118.51,TP,RANGING,0.8342,0.5,0.15
2026-01-22 05:50,2026-01-22 19:05,BUY,4818.08933,4923.00909,0.01,104.92,TP,HIGH_VOLATILITY,0.8752,0.5,0.03
2026-01-22 21:55,2026-01-26 00:30,BUY,4936.2253,5046.53596,0.01,110.31,TP,TRENDING,0.771,0.5,0.03
2026-01-26 14:30,2026-01-26 19:00,BUY,5084.95162,5048.2358,0.01,-36.72,SL,HIGH_VOLATILITY,0.8119,0.5,0.16
2026-01-27 01:10,2026-01-28 07:45,BUY,5071.59442,5286.11017,0.01,214.52,TP,HIGH_VOLATILITY,0.8,0.5,0.14
2026-01-28 12:40,2026-01-28 20:40,BUY,5269.60834,5385.89457,0.01,116.29,TP,HIGH_VOLATILITY,0.8805,0.5,0.03
2026-01-28 21:55,2026-01-29 15:25,BUY,5417.51002,5268.18142,0.01,-149.33,SL,TRENDING,0.8616,0.5,0.1
2026-01-29 20:50,2026-01-30 02:10,BUY,5390.85518,5244.77289,0.01,-146.08,SL,HIGH_VOLATILITY,0.8098,0.5,0.02
2026-02-02 05:50,2026-02-02 11:15,SELL,4538.4112,4753.86601,0.01,-215.45,SL,HIGH_VOLATILITY,0.7628,0.5,0.18
2026-02-02 15:30,2026-02-03 00:20,SELL,4684.18098,4820.53993,0.01,-136.36,SL,HIGH_VOLATILITY,0.8003,0.5,0.1
2026-02-05 02:50,2026-02-08 23:30,SELL,4845.67007,5037.49694,0.01,-191.83,SL,HIGH_VOLATILITY,0.85,0.5,0.09
2026-02-09 08:15,2026-02-09 10:25,BUY,5027.27438,4987.2381,0.01,-40.04,SL,HIGH_VOLATILITY,0.8995,0.5,0.04
2026-02-09 14:10,2026-02-11 10:40,BUY,5015.14884,5099.30898,0.01,84.16,TP,HIGH_VOLATILITY,0.8748,0.5,0.08
2026-02-11 10:45,2026-02-11 13:30,BUY,5099.11236,5040.04056,0.01,-59.07,SL,RANGING,0.8294,0.5,0.13
2026-02-11 17:10,2026-02-12 16:10,BUY,5084.80918,5026.55604,0.01,-58.25,SL,HIGH_VOLATILITY,0.7782,0.5,0.12
2026-02-13 05:30,2026-02-13 14:20,SELL,4967.64203,5006.98057,0.01,-39.34,SL,HIGH_VOLATILITY,0.8323,0.5,0.1
2026-02-17 00:10,2026-02-17 05:15,SELL,4979.28857,4902.28402,0.01,77.0,TP,HIGH_VOLATILITY,0.7805,0.5,0.14
2026-02-17 05:20,2026-02-18 14:30,SELL,4897.57651,4978.1867,0.01,-80.61,SL,HIGH_VOLATILITY,0.764,0.5,0.05
2026-02-19 15:00,2026-02-22 23:05,BUY,5003.93863,5123.62443,0.01,119.69,TP,HIGH_VOLATILITY,0.7934,0.5,0.06
2026-02-22 23:15,2026-03-01 23:30,BUY,5142.05617,5358.77058,0.01,216.71,TP,TRENDING,0.7568,0.5,0.12
2026-03-01 23:55,2026-03-03 09:25,BUY,5386.92262,5245.77002,0.01,-141.15,SL,TRENDING,0.8847,0.5,0.16
2026-03-05 05:40,2026-03-05 13:20,SELL,5166.08441,5088.40765,0.01,77.68,TP,HIGH_VOLATILITY,0.7991,0.5,0.06
2026-03-06 08:25,2026-03-06 13:35,SELL,5100.63501,5129.47637,0.01,-28.84,SL,HIGH_VOLATILITY,0.8157,0.5,0.1
2026-03-09 06:55,2026-03-09 22:55,SELL,5097.68658,5151.99563,0.01,-54.31,SL,HIGH_VOLATILITY,0.7993,0.5,0.14
2026-03-10 12:50,2026-03-11 13:50,BUY,5182.25459,5151.50725,0.01,-30.75,SL,HIGH_VOLATILITY,0.8632,0.5,0.16
2026-03-11 19:55,2026-03-11 22:55,BUY,5182.97622,5148.11772,0.01,-34.86,SL,HIGH_VOLATILITY,0.8016,0.5,0.12
2026-03-13 04:25,2026-03-13 16:05,SELL,5105.604,5021.95745,0.01,83.65,TP,HIGH_VOLATILITY,0.865,0.5,0.1
2026-03-13 19:50,2026-03-18 13:15,SELL,5016.02237,4843.9982,0.01,172.02,TP,HIGH_VOLATILITY,0.8516,0.5,0.16
2026-03-18 20:25,2026-03-19 13:00,SELL,4811.36281,4519.9749,0.01,291.39,TP,HIGH_VOLATILITY,0.8942,0.5,0.12
