time,exit_time,direction,entry,exit,lot,pnl,result,regime,ai_score,spread,slippage
2025-06-24 08:10,2025-06-24 10:15,SELL,3330.96279,3324.43132,0.01,6.53,SL,HIGH_VOLATILITY,0.881,0.5,0.02
2025-06-24 10:30,2025-06-24 12:20,SELL,3325.97386,3318.86183,0.01,7.11,SL,HIGH_VOLATILITY,0.8901,0.5,0.11
2025-06-24 17:20,2025-06-25 00:20,SELL,3320.45914,3327.75967,0.01,-7.3,SL,HIGH_VOLATILITY,0.8767,0.5,0.09
2025-06-25 06:00,2025-06-25 07:25,SELL,3332.9589,3332.95923,0.02,-0.0,SL,HIGH_VOLATILITY,0.8326,0.5,0.01
2025-06-25 07:45,2025-06-25 10:10,SELL,3333.85905,3327.63135,0.01,6.23,SL,HIGH_VOLATILITY,0.8393,0.5,0.09
2025-06-25 10:45,2025-06-25 13:10,SELL,3326.94507,3314.42307,0.02,25.04,TP,HIGH_VOLATILITY,0.7721,0.5,0.19
2025-06-25 14:55,2025-06-25 16:35,SELL,3323.40385,3331.38712,0.01,-7.98,SL,HIGH_VOLATILITY,0.8935,0.5,0.02
2025-06-25 18:00,2025-06-26 00:00,BUY,3327.00007,3333.5775,0.01,6.58,SL,HIGH_VOLATILITY,0.7531,0.5,0.01
2025-06-26 01:10,2025-06-26 03:30,BUY,3333.14342,3338.18248,0.02,10.08,SL,HIGH_VOLATILITY,0.8795,0.5,0.04
2025-06-26 04:20,2025-06-26 06:05,BUY,3336.16015,3331.91054,0.02,-8.5,SL,HIGH_VOLATILITY,0.7631,0.5,0.01
2025-06-26 06:10,2025-06-26 07:15,BUY,3332.72567,3343.96047,0.02,22.47,TP,HIGH_VOLATILITY,0.8407,0.5,0.17
2025-06-26 11:00,2025-06-26 12:10,SELL,3342.21338,3336.84389,0.02,10.74,SL,HIGH_VOLATILITY,0.8644,0.5,0.16
2025-06-26 12:25,2025-06-26 12:40,SELL,3342.81633,3330.54868,0.02,24.54,TP,HIGH_VOLATILITY,0.8897,0.5,0.17
2025-06-26 19:00,2025-06-26 23:50,SELL,3333.54717,3318.13021,0.01,15.42,TP,HIGH_VOLATILITY,0.8589,0.5,0.08
2025-06-27 01:30,2025-06-27 02:45,SELL,3320.37827,3309.40197,0.02,21.95,TP,HIGH_VOLATILITY,0.8555,0.5,0.07
2025-06-27 05:15,2025-06-27 08:45,SELL,3296.88531,3289.33434,0.01,7.55,SL,HIGH_VOLATILITY,0.8377,0.5,0.07
2025-06-27 20:35,2025-06-29 22:20,SELL,3273.46564,3258.91656,0.02,29.1,TP,HIGH_VOLATILITY,0.8415,0.5,0.04
2025-06-30 04:20,2025-06-30 06:30,BUY,3277.57676,3292.75037,0.02,30.35,TP,HIGH_VOLATILITY,0.7651,0.5,0.08
2025-06-30 10:30,2025-06-30 12:00,SELL,3286.66372,3280.57854,0.02,12.17,SL,HIGH_VOLATILITY,0.8777,0.5,0.03
2025-06-30 17:45,2025-06-30 19:35,BUY,3293.73769,3307.91689,0.02,28.36,TP,HIGH_VOLATILITY,0.8246,0.5,0.17
2025-07-01 15:25,2025-07-02 01:25,BUY,3340.51336,3333.43799,0.02,-14.15,SL,HIGH_VOLATILITY,0.7523,0.5,0.14
2025-07-02 01:40,2025-07-02 05:35,BUY,3333.2354,3338.5932,0.02,10.72,SL,HIGH_VOLATILITY,0.8606,0.5,0.04
2025-07-02 06:20,2025-07-02 07:10,BUY,3334.7537,3328.48634,0.02,-12.53,SL,HIGH_VOLATILITY,0.8418,0.5,0.07
2025-07-02 07:25,2025-07-02 10:05,BUY,3330.07086,3343.83576,0.02,27.53,TP,HIGH_VOLATILITY,0.7805,0.5,0.19
2025-07-02 13:55,2025-07-02 18:55,BUY,3337.44571,3352.91772,0.02,30.94,TP,HIGH_VOLATILITY,0.7741,0.5,0.07
2025-07-02 23:25,2025-07-03 00:05,BUY,3350.57154,3344.86821,0.02,-11.41,SL,HIGH_VOLATILITY,0.9,0.5,0.05
