time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-06-24 23:00:00+00:00,2025-06-24 23:10:00+00:00,SELL,3322.43029,3322.43843,0.01,-0.04,0.07,SL,HIGH_VOLATILITY,0.8,31.08,0.17,NEW_YORK
2025-06-25 00:50:00+00:00,2025-06-25 01:00:00+00:00,SELL,3327.01057,3326.55704,0.01,0.42,0.07,SL,TRENDING,0.8,39.08,0.84,TOKYO
2025-06-25 03:10:00+00:00,2025-06-25 03:20:00+00:00,SELL,3331.29584,3331.17293,0.01,0.09,0.07,SL,TRENDING,0.8,41.44,0.82,TOKYO
2025-06-25 11:35:00+00:00,2025-06-25 11:45:00+00:00,SELL,3325.8394,3325.41852,0.01,0.39,0.07,SL,HIGH_VOLATILITY,0.8,48.68,0.36,LONDON
2025-06-26 01:35:00+00:00,2025-06-26 01:45:00+00:00,SELL,3331.61744,3331.6266,0.01,-0.04,0.07,SL,HIGH_VOLATILITY,0.8,48.31,0.56,TOKYO
2025-06-26 03:25:00+00:00,2025-06-26 03:35:00+00:00,SELL,3338.91335,3338.50838,0.01,0.37,0.07,SL,HIGH_VOLATILITY,0.8,46.34,0.26,TOKYO
2025-06-26 12:25:00+00:00,2025-06-26 12:40:00+00:00,SELL,3342.81158,3336.02664,0.01,6.75,0.07,SL,HIGH_VOLATILITY,0.8,70.92,0.64,LONDON
2025-06-27 01:35:00+00:00,2025-06-27 01:50:00+00:00,SELL,3318.59324,3317.01295,0.01,1.55,0.07,SL,HIGH_VOLATILITY,0.8,54.92,0.88,TOKYO
2025-06-27 05:15:00+00:00,2025-06-27 05:25:00+00:00,SELL,3296.88048,3295.85968,0.01,0.99,0.07,SL,HIGH_VOLATILITY,0.8,63.66,0.55,TOKYO
2025-06-27 19:00:00+00:00,2025-06-27 19:10:00+00:00,SELL,3274.62023,3274.08201,0.01,0.5,0.07,SL,HIGH_VOLATILITY,0.8,54.83,0.38,NEW_YORK
2025-06-30 00:15:00+00:00,2025-06-30 00:25:00+00:00,SELL,3269.25543,3268.71399,0.03,1.52,0.21,SL,HIGH_VOLATILITY,0.8,69.19,0.86,TOKYO
